Hotel Name,Score,Star rating
Aber Abha,9.1Scored 9.1,3.0
Warwick Hotel Jeddah,8.4Scored 8.4,4.0
بيست تريب فالنسيا,7.6Scored 7.6,
Safa PARK HOTEL YANBU فندق صفا بارك ينبع,7.3Scored 7.3,3.0
Mirada Purple - Obhur,7.9Scored 7.9,
Braira Al Dammam,8.8Scored 8.8,4.0
Boudl Al Munsiyah,7.8Scored 7.8,
فندق زهرة جده,6.5Scored 6.5,
روائع للشقق المخدومة,6.1Scored 6.1,
Centro Corniche Al Khobar by Rotana,7.8Scored 7.8,4.0
البندقية للأجنحة الفندقية بريدة BQ hotel suites,6.7Scored 6.7,3.0
Vivian Park Residential Apartment,8.9Scored 8.9,
Danat Layalina Apparthotel,7.4Scored 7.4,
Al Shiraz Suites,7.1Scored 7.1,
فوربوينتس باي شيراتون مكة النسيم,8.3Scored 8.3,4.0
Al Rawda - Hotel,8.6Scored 8.6,
SPAR Furnished Hotel,7.6Scored 7.6,
Desert Rose,7.2Scored 7.2,
Pullman Zamzam Madina,8.0Scored 8.0,5.0
Aloft Dhahran Hotel,8.4Scored 8.4,4.0
Sama Al Qasr Hotel Apartments,8.9Scored 8.9,
Silent Room 1 By Quiet Rooms,5.9Scored 5.9,
Sunrise Suites,9.4Scored 9.4,3.0
Iridium 70 Hotel,8.9Scored 8.9,4.0
Hadab Al Sahafa,8.1Scored 8.1,4.0
ريـزورد بـلازا - RIZORD plaza,8.7Scored 8.7,4.0
Msakn Aldar,8.6Scored 8.6,4.0
فندق EWG أبحر الشاطئ golden sea,7.7Scored 7.7,3.0
Guests Inn,7.4Scored 7.4,
"Staybridge Suites - Al Khobar City, an IHG Hotel",8.8Scored 8.8,
مشار العلا للشقق الفندقيه 1,7.5Scored 7.5,
Al Muhaidb Khanshalila,7.4Scored 7.4,
The Venue Jeddah Corniche,7.6Scored 7.6,5.0
Grand Millennium Tabuk,8.9Scored 8.9,5.0
Carawan Al Khaleej Hotel Olaya,8.6Scored 8.6,2.0
Lavana Sari,7.8Scored 7.8,4.0
Gardino Hotel & Residence,8.4Scored 8.4,4.0
Naviti Warwick Dammam,8.1Scored 8.1,
Olian Hotel,7.8Scored 7.8,4.0
Al Muhaidb Residence Al Dowally,7.1Scored 7.1,
Banan Hotel Suites,9.5Scored 9.5,3.0
Mena Hotel Nasiriah Riyadh,8.1Scored 8.1,3.0
OYO 416 Bonais Hotel,3.4Scored 3.4,
كازا رست للوحدات السكنية,6.5Scored 6.5,
Pullman ZamZam Makkah,6.7Scored 6.7,5.0
Ramada by Wyndham Dammam Khaleej Road,6.7Scored 6.7,4.0
Toot House ALQAIM,8.3Scored 8.3,
Boudl Al Tahlia,8.3Scored 8.3,4.0
الوادي للوحدات السكنية,8.0Scored 8.0,
Mirnian Hotel,8.6Scored 8.6,
همم للوحدات السكنية - الرحيلي Jeddah,8.0Scored 8.0,
Luxury Night Hotel,8.4Scored 8.4,
Ibis Riyadh Olaya Street,6.8Scored 6.8,3.0
Al Farhan Hotel Suites Al siteen,7.2Scored 7.2,
"Radisson Blu Residence, Dhahran",8.5Scored 8.5,4.0
Aman Hotel Suites,9.2Scored 9.2,4.0
المواسم الأربعة للوحدات السكنية,8.7Scored 8.7,
Hayat Al Riyadh Washam Hotel,8.2Scored 8.2,4.0
وجهة التميز 2,8.1Scored 8.1,
Seiba Hotel Apartments-Riyadh,7.0Scored 7.0,
Tu Jardin Al Harmain- تو جاردن الحرمين,8.2Scored 8.2,3.0
Ahlin Suites 5,6.7Scored 6.7,3.0
Mena Hotel Tabuk,7.9Scored 7.9,3.0
City Center Plaza Aparthotel,6.6Scored 6.6,
Touq Balad,8.2Scored 8.2,3.0
Park Inn by Radisson Makkah Al Naseem,7.8Scored 7.8,4.0
Merfal Hotel Apartments Al Taawan مرفال التعاون,6.5Scored 6.5,
Boudl Palestine Jeddah,7.5Scored 7.5,3.0
فندق سروات بارك جده Sarwat Park Hotel Jeddah,8.0Scored 8.0,4.0
Hilton Garden Inn Al Jubail,8.1Scored 8.1,4.0
Le Meridien Al Khobar,8.3Scored 8.3,5.0
"Holiday Inn Riyadh Izdihar, an IHG Hotel",7.4Scored 7.4,4.0
Arjaan Altakhassusi Hotel Suites,8.5Scored 8.5,
Condo Studio Self checkin,8.4Scored 8.4,
Rose Garden Hotel,6.7Scored 6.7,
روز للشقق الفندقية,6.1Scored 6.1,
Amaken Aparthotel,7.9Scored 7.9,
Myrtle Hotel - Al Sahafa,7.5Scored 7.5,4.0
"InterContinental Durrat Al Riyadh Resort & Spa, an IHG Hotel",8.2Scored 8.2,5.0
فلورز سويتس,7.8Scored 7.8,
Burj Alhayah Hotel Suites Alfalah,6.8Scored 6.8,
Nelover Hotel Hafar,8.1Scored 8.1,
"Crowne Plaza Riyadh - RDC Hotel & Convention, an IHG Hotel",8.9Scored 8.9,5.0
Marvelous Hotel,9.5Scored 9.5,3.0
Hyatt House Jeddah Sari Street,8.3Scored 8.3,4.0
Radisson Blu Plaza Jeddah,8.2Scored 8.2,4.0
Best Trip Serviced Apartments,8.1Scored 8.1,
Al Taif Gate Hotel Suites,7.4Scored 7.4,
"Radisson Blu Hotel, Jeddah Al Salam",8.8Scored 8.8,5.0
DoubleTree by Hilton Hotel Riyadh - Al Muroj Business Gate,7.2Scored 7.2,4.0
Aster Hotel,7.5Scored 7.5,4.0
"Holiday Inn Al Khobar - Corniche, an IHG Hotel",7.2Scored 7.2,4.0
Courtyard by Marriott Jazan,8.5Scored 8.5,4.0
Lotaz Hotel Suites - Al Salamah,9.1Scored 9.1,
Novotel Jeddah Tahlia,7.6Scored 7.6,4.0
